"Boston","MA","00215"
"Ayer","MA","01434"
"Worcester","MA","01706"
"Southport","CT","06890"
"Cumberland","MD","20600"
"Ellijay","GA","30536"
"Wesley Chapel","FL","33545"
"Riverview","FL","33579"
"Valrico","FL","33596"
"Fort Myers","FL","33966"
"Land O' Lakes","FL","34638"
"Chattanooga","TN","37000"
"Knoxville","TN","37001"
"Bronwood","GA","39826"
"Georgetown","GA","39854"
"Morgan","GA","39866"
"Windsor Heights","IA","50324"
"Marengo","IL","60252"
"Aurora","IL","60503"
"Maumelle","AR","72213"
"Claremore","OK","74019"
"Mission","TX","78574"
"Georgetown","TX","78633"
"Herriman","UT","84096"
"Apache Junction","AZ","85119"
"Picacho","AZ","85141"
"Apache Junction","AZ","85178"
"Queen Creek","AZ","85243"
"Tucson","AZ","85757"
"Carson City","NV","89071"
"Las Vegas","NV","89166"
"Carlsbad","CA","92011"
"San Francisco","CA","94505"
"Sacramento","CA","95811"
"Honolulu","HI","96798"
"Salem","OR","97317"
"Lynnwood","WA","98087"
"Tacoma","WA","98417"
